ID_REF,GSM3586432,GSM3586433,GSM3586434,GSM3586435
GM10568,1.697388602,1.513687384,1.872426429,1.742333216
LYPLA1,5.4097287,5.724774629,5.849565279,5.799296665
TCEA1,6.254259397,5.983289184,6.051045713,6.094717538
ATP6V1H,4.920161201,4.94655457,5.156511478,5.059863461
OPRK1,1.976214202,1.798948383,1.85215034,1.641863179
RB1CC1,5.276302685,5.508651263,5.991018428,6.054417266
FAM150A,1.552392132,1.412587578,1.495473084,1.27745723
ST18,2.182471238,1.942743509,1.887200424,1.954716938
PCMTD1,6.691961873,5.741440099,6.748295255,5.524557151
AHCY,2.87969229,4.517385515,2.891708552,4.202767322
RRS1,5.301389862,4.830724428,4.659633237,5.162520615
ADHFE1,4.318380811,5.079114862,6.103731132,4.356912201
HNRNPA3,7.506842175,7.689364044,7.008598055,7.975218654
3110035E14RIK,2.493938969,2.401765242,2.048753925,2.176152758
SGK3,4.239206117,4.607735611,4.359985234,4.826207196
6030422M02RIK,2.201477439,2.182363457,2.646129773,2.48541827
CSPP1,4.875798625,4.937267919,4.421484865,4.748730621
PREX2,6.58757295,5.062514903,6.156519589,4.852738203
A830018L16RIK,2.941260319,1.653818244,2.669386234,1.672407188
GM7560,2.314227415,1.997015086,2.756883664,1.727234122
SULF1,6.625333047,6.384986154,5.71204776,6.236442882
GM5250,1.724909539,1.972808435,1.843996833,1.541109353
XKR9,1.919678343,1.62864981,1.645791428,1.57231453
MSC,1.934674681,1.662553501,2.061033236,1.576245173
RPL5,8.349663053,8.566138254,8.575894383,8.655011948
KCNB2,2.00832029,1.559016034,2.172712576,1.478554568
TERF1,4.927767596,5.476732459,5.791964682,5.556033762
GM7634,2.041059576,2.174941211,1.839476882,1.688685481
RDH10,4.87583919,5.064051265,4.952446386,6.29318409
TMEM70,5.308577713,4.959181104,5.850747049,4.9163859
LY96,5.812553987,6.222416847,6.524096691,5.759224321
GDAP1,3.214645384,2.453750004,3.056189343,1.965705974
PI15,5.867023314,5.403448009,4.592436488,5.385593687
CRISPLD1,3.328257682,2.969614875,3.278134619,2.595054629
TCFAP2D,2.325200938,2.098500851,2.408865941,2.056987425
TCFAP2B,2.920610734,2.568216343,2.673542889,2.167980948
IARS,6.948878457,7.183903411,6.97738004,7.027481375
MIR206,1.255307149,1.283019055,1.38466237,1.153522443
MIR133B,2.949195784,2.501642266,2.385153401,2.381058225
IL17A,2.403356859,2.193884083,3.039244405,2.215098527
PAQR8,3.594116312,3.301546498,3.218494513,3.106625808
EFHC1,3.383533754,3.017311862,3.353384568,2.834787678
TMEM14A,3.182155414,3.018968785,3.278305542,2.962520541
GSTA3,4.436633871,3.519945379,5.26513335,3.208948056
CETN4,2.121579395,1.992143976,1.748217652,1.624690031
KHDC1A,1.297887328,1.087374308,1.988408262,1.206109772
KHDC1B,3.511552399,2.569881211,2.929269847,2.88066024
MIR30A,1.563069242,1.486702416,2.010540907,1.417064744
MIR30C-2,1.646848609,2.057760876,2.020787309,1.719021505
B3GAT2,2.99590956,2.027965654,2.803338282,2.845913244
1110058L19RIK,1.900024604,1.787691474,2.125249187,1.706959292
COL9A1,2.696437457,2.585190151,2.612746179,2.544804748
LMBRD1,5.52662832,4.994947652,5.827818969,5.245446581
GM9443,1.765314817,1.682169061,1.851822391,1.623240714
GM9884,2.284252999,2.1133641,1.956804301,1.812710611
GM6462,1.68207135,1.547808129,1.795011328,1.480270282
CDK10,4.029603916,4.520690627,4.291178235,3.95213519
LGSN,2.465273994,2.012954747,2.162493728,1.902594119
4930521A18RIK,1.451103207,1.050449334,1.414535475,1.084559833
PAOX,3.172470982,3.784941274,3.220317435,3.340968357
KHDRBS2,1.590272039,1.531400607,1.863271582,1.33693719
1700001G17RIK,3.650650096,3.345648089,3.118938525,3.290948418
RAB23,5.171461192,4.950159548,4.1705235,4.580067824
DST,7.06398666,6.451445856,6.327920239,6.072233457
IMP4,4.360742023,5.260184409,4.601645453,5.275022368
D1ERTD448E,3.178911501,3.155328159,3.372856289,3.182456492
PTPN18,2.824937672,3.204136392,2.986846326,2.929927663
PRSS39,2.364609091,2.189399891,2.237574662,2.280143331
CFC1,2.375928417,1.996480878,2.431638083,2.163810868
FAM123C,2.357441557,2.327505985,2.589773381,2.118577561
C230030N03RIK,2.272267713,2.236099606,2.407891106,2.29907848
ARHGEF4,3.130655258,3.440011113,3.591952419,3.067230006
PLEKHB2,3.539255442,3.486454049,3.11263026,3.396342287
GM4671,2.785057754,4.096954109,3.979799973,3.659083308
HS6ST1,3.631096871,4.410836432,3.699373778,3.40972024
ARID5A,3.773595752,4.197845106,3.807395167,4.428992483
CNNM4,3.232711046,3.588417084,2.775446253,3.741457138
CNNM3,3.205123157,3.157470992,3.324321407,2.98021069
COX5B,8.428684826,7.915952687,8.786145867,7.836833248
ZAP70,2.952582282,2.310528674,3.193497643,2.445388843
VWA3B,2.120002061,2.07592642,2.135899517,2.120002061
CNGA3,1.928670219,1.694719999,2.269566048,1.758771684
INPP4A,4.819512228,4.516063959,4.478700757,4.876279534
UNC50,7.054470427,6.611079725,6.921591249,6.623237087
LIPT1,3.226521059,2.942376156,3.884644908,2.532623296
MRPL30,7.991169559,7.963572711,8.702882282,7.826277686
EIF5B,6.671804178,6.518714398,6.527530117,6.70064149
NMS,2.394357882,1.842924834,1.957834339,1.838635722
PDCL3,6.800793922,6.17912418,5.377208246,6.417009929
NPAS2,4.508551632,3.210959267,2.853600868,3.200372509
RPL31,10.19991244,10.07363949,10.30665288,10.10939227
D1BWG0212E,5.338594671,5.077668667,5.188048263,5.062171515
MAP4K4,5.556079973,6.101647001,4.380051194,6.261278888
IL1R2,3.994744423,3.950512757,3.592064457,7.52159628
IL1R1,6.769749938,7.54802657,6.373139269,7.503899618
IL1RL2,2.952595158,3.815525108,2.852979245,3.55378044
IL1RL1,3.038843153,3.273071356,3.201545014,3.743769002
IL18R1,2.722263724,2.365814065,2.641026525,2.705197862
IL18RAP,2.579663954,2.811906387,2.743594924,5.253426449
SLC9A4,2.176582315,1.974866678,2.648904843,2.111317275
SLC9A2,2.208050403,1.985249863,1.991380956,1.917386642
TMEM182,2.506654857,2.380133602,2.548805826,2.340593278
GM9915,1.717092509,1.867412573,2.325872469,1.731069484
POU3F3,2.131586698,2.1050695,2.13614926,1.907028205
MRPS9,4.297599865,4.899564816,4.720564008,4.816802263
GPR45,2.602887265,2.210470453,2.465826807,2.434747048
8430432A02RIK,1.809055473,1.798781661,1.786724363,1.672329455
AI597479,4.832350094,4.017665561,4.168899814,3.889634214
GM8580,8.967354334,9.673625745,8.731465256,9.530229714
GM8211,2.055208845,1.563722413,1.939315771,1.623491916
NCK2,3.681755148,3.589522948,3.466839153,3.716840705
1500015O10RIK,4.459623677,4.825620101,3.506866917,3.193841506
TPP2,5.607665116,5.882284117,6.016668693,6.181188605
BIVM,4.076510341,3.693973787,3.327152432,3.528416796
ERCC5,5.346382185,4.964630928,5.127964753,4.726774223
GULP1,5.310903456,4.465206146,4.360479275,3.782381597
COL3A1,6.474770857,7.983317755,5.023707394,7.194166656
GM8304,1.887432496,1.303497088,1.310501073,1.042152077
WDR75,5.691307854,5.694275883,5.879597885,6.221839859
RPL23A,10.30779811,10.32384243,10.26149161,10.32078399
DNAHC7B,1.225062825,1.288637674,1.254384481,1.254384481
GM8357,2.55780762,2.710297633,2.271257076,2.735856097
C230029F24RIK,1.78679916,1.640831169,2.84687217,1.522984086
GM8384,2.79000685,2.342728121,2.128493719,2.542421499
TMEFF2,6.841340298,6.138778846,6.37872058,4.724029336
SDPR,7.801597884,5.752862495,7.179394962,6.256976056
STAT4,2.616966511,2.701349464,4.205031848,3.473794537
STAT1,5.115673232,5.49141457,5.891427583,5.720494418
TMEM194B,2.167779926,2.212754435,2.080469431,2.352848038
HIBCH,4.917390419,4.652380461,6.382925782,4.51666766
MSTN,2.082773123,1.79166892,2.453702036,1.591933263
ORMDL1,3.44893635,4.117003943,4.437449895,4.651476693
OSGEPL1,4.721735601,4.543697964,5.673412233,4.42142823
CCDC150,1.540487799,1.477061964,1.814698809,1.628929609
COQ10B,4.853207822,5.007586005,5.567866397,5.261533875
HSPE1,8.114629647,8.133752093,8.658098009,8.440310984
MOBKL3,5.929384064,5.564704584,5.798427435,5.893063537
GM10561,2.812869068,3.839841347,3.375994954,3.480144367
MARS2,3.726574367,3.698986562,3.488234749,3.681663104
PLCL1,3.188402437,2.850848405,2.672130155,2.260334844
1700066M21RIK,4.023417328,4.311056469,4.85847587,3.664447417
