homology_id,mouse_symbol,human_symbol
48883441,CHR6:90527751-90576153(+),CHR3:126103562-126197994(-)
48883442,CHRY:2662471-2663658(-),CHRY:2786855-2787682(-)
48883443,CHR5:150042110-150421218(+),CHR13:31846713-32299125(+)
48883444,CHR3:159304812-159330958(+),CHR1:68428822-68451103(-)
48883445,CHR11:75623695-75656671(+),CHR17:1344275-1400222(-)
48883446,CHR9:107813097-107826882(+),CHR3:49857988-49869935(-)
48883447,CHR3:98406387-98417830(-),CHR1:119507198-119515058(+)
48883447,CHR3:98406387-98417830(-),CHR1:119414931-119423035(+)
48883448,CHR3:98759510-98767110(-),CHR1:119507198-119515058(+)
48883448,CHR3:98759510-98767110(-),CHR1:119414931-119423035(+)
48883449,CHR3:98618423-98631859(-),CHR1:119507198-119515058(+)
48883449,CHR3:98618423-98631859(-),CHR1:119414931-119423035(+)
48883450,CHR3:98712820-98721759(-),CHR1:119507198-119515058(+)
48883450,CHR3:98712820-98721759(-),CHR1:119414931-119423035(+)
48883451,CHR3:98648839-98670443(-),CHR1:119507198-119515058(+)
48883451,CHR3:98648839-98670443(-),CHR1:119414931-119423035(+)
48883452,CHR3:98525950-98537568(-),CHR1:119507198-119515058(+)
48883452,CHR3:98525950-98537568(-),CHR1:119414931-119423035(+)
48883453,CHR3:98459858-98471301(-),CHR1:119507198-119515058(+)
48883453,CHR3:98459858-98471301(-),CHR1:119414931-119423035(+)
48883454,CHR3:98352991-98364442(-),CHR1:119507198-119515058(+)
48883454,CHR3:98352991-98364442(-),CHR1:119414931-119423035(+)
48883455,CHR15:78283756-78290065(-),CHR22:37010859-37020183(-)
48883456,CHR15:78290918-78298213(+),CHR22:37019635-37029821(+)
48883457,CHR5:39771278-39802791(-),CHR4:11393150-11434327(-)
48883458,CHR7:120991082-121100993(+),CHR16:22814162-22916338(+)
48883459,CHR11:63776618-63813116(-),CHR17:14301081-14349404(+)
48883460,CHR7:123582092-123998212(+),CHR16:25691959-26137685(+)
48883461,CHR7:44771812-44773813(-),CHR19:49496365-49499708(+)
48883462,CHR4:151004612-151030561(+),CHR1:7915871-7943165(-)
48883463,CHR7:79309944-79347896(+),CHR15:89575469-89631056(+)
48883464,CHR10:79540325-79547803(+),CHR19:571277-583494(+)
48883465,CHRX:133486403-133488811(+),CHRX:101390824-101396155(+)
48883467,CHR12:69229508-69230841(-),CHRX:101390824-101396155(+)
48883467,CHR12:69229508-69230841(-),CHR14:49618530-49620626(-)
48883468,CHR5:121342564-121347304(+),CHR12:112405181-112418838(-)
